"";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
"1981";"26.8";"22.32";"42.36";"21.62";"18.55";"91.59";"43.91";"52.74";"80.4";"32.04";"18.48";"121.53"
"1982";"31.77";"13.13";"37.58";"38.89";"15.09";"83.79";"104.45";"33.56";"14.39";"33.97";"18.24";"36.26"
"1983";"21.79";"16.79";"20.36";"33.77";"44.21";"50.22";"28.87";"46.96";"61.64";"17.41";"14.47";"10.93"
"1984";"58.47";"18.51";"24.43";"32.26";"93.66";"72.95";"36.34";"49.35";"51.95";"34.74";"32.96";"38.26"
"1985";"27.44";"41.93";"35.26";"37.29";"62.98";"42.86";"53.03";"80.91";"11.58";"11.32";"91.19";"28.85"
"1986";"37.65";"78.84";"31.03";"28.62";"36.1";"62.53";"57.77";"50.95";"0.4";"12.26";"3.57";"32.39"
"1987";"90.74";"9.78";"40.4";"54.11";"113.25";"64.01";"26.98";"37.57";"10.91";"2.87";"51.78";"21.56"
"1988";"42.61";"37.6";"68.11";"20.05";"40.2";"63.91";"20.48";"15.21";"48.13";"18.85";"21.14";"33.7"
"1989";"2.69";"18.91";"13.85";"89.08";"45.34";"122.72";"15.38";"82.68";"36.47";"25.74";"84.53";"14.31"
"1990";"10.41";"19.16";"28.75";"19.59";"30.3";"56.95";"58.68";"21.6";"40";"33.6";"43.46";"60.32"
"1991";"10.19";"26.06";"30.3";"65.86";"104.4";"28.63";"115.14";"60.57";"25.51";"100.15";"37.97";"20.46"
"1992";"4.64";"15.34";"1.69";"21.31";"11.75";"133.76";"21.9";"7.99";"41.78";"96.89";"46.51";"35.5"
"1993";"12.95";"10.11";"41.44";"46.09";"10.7";"34.88";"36.59";"27.04";"48.66";"41.77";"52.94";"73.69"
"1994";"40.84";"44.26";"15.55";"54.11";"41.13";"29.34";"38.12";"40.49";"35.13";"35.05";"15.36";"34.41"
"1995";"38.61";"41.74";"32.26";"32.67";"44.99";"92.34";"34.28";"37.38";"84.67";"5.42";"58.73";"94.3"
"1996";"44.5";"26.04";"18.14";"32.89";"81.21";"41.21";"47.87";"89.02";"85.45";"24.12";"36.36";"67.79"
"1997";"27.99";"13.67";"14.48";"51.14";"34.36";"73.09";"86.3";"66.44";"16.13";"49.71";"36.08";"70.64"
"1998";"55.18";"0.75";"9.13";"35.78";"54.05";"44.93";"92.25";"90.84";"72.82";"65.38";"40.52";"18.56"
"1999";"24.85";"85.64";"9.77";"60.26";"71.29";"69.26";"164.88";"55.65";"48.43";"19.71";"111";"81.57"
"2000";"4.94";"5.53";"38.55";"41.67";"15.3";"11.79";"35.12";"10.79";"12.05";"2.74";"17.45";"40.01"
"2001";"41.64";"6.63";"58.43";"63.09";"26.23";"188.56";"59.07";"32.81";"129.87";"9.74";"28.88";"21.43"
"2002";"4.95";"29.89";"5.29";"28.09";"52.8";"52.6";"63.06";"45.82";"37.42";"36.79";"23.46";"40.34"
"2003";"72.56";"33.75";"4.84";"16.12";"23.95";"24.25";"50.38";"11.48";"48.83";"87.29";"38.47";"32.4"
"2004";"31.26";"40.31";"31.84";"90.48";"50.82";"68.13";"138.26";"38.72";"44.87";"39.53";"84.34";"41.57"
"2005";"22.1";"51.53";"45.77";"81";"45.46";"77.63";"101.03";"141.14";"54.2";"3.61";"23.95";"57.48"
"2006";"24.5";"42.65";"40.21";"58.7";"53.76";"99.23";"47.19";"82.5";"12.55";"21.56";"22.24";"12.01"
"2007";"25.34";"32.42";"49.02";"3.2";"112.83";"64.38";"22.98";"30.4";"54.35";"61.72";"59.47";"38.27"
"2008";"16.08";"3.65";"56.96";"34.86";"43.44";"127.61";"54.03";"26.48";"48.1";"22.86";"45.65";"57.73"
"2009";"39";"20.66";"22.69";"4.25";"33.86";"109.27";"23.02";"46.01";"9.78";"63.37";"71.42";"72.37"
"2010";"63.85";"66.87";"20.6";"52.85";"148.52";"107.63";"61.64";"58.29";"98";"47.05";"55.77";"90.4"
